food_name,category,diet_type,calories,protein,carbs,fat,fiber,serving
Handvo,regional,veg,160,6,24,5,4,100 g
Dhokla,regional,veg,150,6,24,3,2,100 g
Khandvi,regional,veg,140,6,16,6,2,100 g
Vegetable Khichdi,regional,veg,130,5,23,2,4,100 g
Curd Rice,regional,veg,140,4,24,3,1,100 g
Lemon Rice,regional,vegan,165,3,28,5,2,100 g
Sambar,regional,vegan,75,4,12,2,3,100 g
Rasam,regional,vegan,45,2,8,1,1,150 ml
Vegetable Pulao,regional,veg,160,4,29,4,3,100 g
Maharashtrian Pithla,regional,veg,135,7,16,5,4,100 g
Zunka,regional,veg,160,9,18,6,5,100 g
Thalipeeth,regional,veg,180,6,28,5,5,1 medium
Usal,regional,vegan,130,7,20,3,5,100 g
Misal Without Farsan,regional,vegan,150,8,22,5,6,100 g
Vegetable Stew,regional,vegan,95,2,12,5,3,100 g
Avial,regional,veg,120,3,12,7,4,100 g
Tinda Sabzi,vegetable,vegan,70,2,9,3,3,100 g
Ridge Gourd Sabzi,vegetable,vegan,65,1.5,8,3,3,100 g
Carrot Peas Sabzi,vegetable,vegan,90,3,14,3,4,100 g
Cucumber,vegetable,vegan,16,0.7,3.6,0.1,0.5,100 g
Tomato Salad,vegetable,vegan,20,1,4,0.2,1,100 g
Guava,fruit,vegan,68,2.6,14,1,5,100 g
Papaya,fruit,vegan,43,0.5,11,0.3,1.7,100 g
Orange,fruit,vegan,47,0.9,12,0.1,2.4,100 g
Watermelon,fruit,vegan,30,0.6,8,0.2,0.4,100 g
Pear,fruit,vegan,57,0.4,15,0.1,3.1,100 g
Pomegranate,fruit,vegan,83,1.7,19,1.2,4,100 g
Buttermilk,drink,veg,35,2,4,1,0,250 ml
Coconut Water,drink,vegan,19,0.7,4,0.2,1,100 ml
Makhana Roasted,snack,veg,350,9,77,1,8,100 g
Sprout Chaat,snack,vegan,110,7,18,2,5,100 g
Corn Chaat,snack,vegan,120,4,24,2,3,100 g
Fruit Curd Bowl,snack,veg,95,4,16,2,2,100 g
Til Chutney,snack,vegan,570,18,23,48,12,100 g
